Country Name,1996,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,-0.091028079,0.57502526,0.377964616,0.467512369,0.173525497,0.003630734,0.14727059,0.39442119,0.357635468,0.369860709,0.353678972,0.36009106,0.301750302,0.379833996,0.170710385,0.078540899,0.010424642,0.068279371,0.321379662,0.444411188,0.561284423,0.401631027,0.364739358,0.31342864,0.341861486
Burkina Faso,-0.300746202,-0.112211242,0.059820332,-0.306921244,0.067120068,-0.081237517,-0.062652916,0.155799553,0.307008684,0.118724599,0.034040287,-0.117637143,-0.555381477,-0.573129237,-0.763390124,-0.787128568,-0.609127343,-0.868710697,-0.92788583,-1.060264468,-1.302193999,-1.537978411,-1.642943263,-1.815369368,-2.03523159
Burundi,-2.11674881,-2.29753232,-2.014070749,-2.284772396,-2.244831324,-2.522759676,-1.523378015,-1.427773476,-1.377925158,-1.636498332,-1.271442652,-1.625959396,-1.807200432,-1.70473814,-1.350277543,-0.784407139,-1.937446117,-1.964375138,-2.002575159,-1.570278168,-1.625056267,-1.54235208,-1.258399367,-1.192446232,-1.172402978
Cabo Verde,1.035551429,1.113963246,1.223599792,0.72962153,0.918948591,1.039301276,0.754638612,0.962325037,0.877260089,0.813386321,0.818449318,0.840972781,0.722605228,0.809086382,0.777999878,0.350779146,0.855819821,0.87119019,0.762865543,0.833261907,0.859627426,0.874232292,0.89436847,0.927069366,0.903245568
Cambodia,-1.104553103,-1.264929175,-0.77603066,-0.722165346,-0.652008533,-0.407748282,-0.393915474,-0.345979184,-0.363606304,-0.298690915,-0.560373843,-0.50098443,-0.304419667,-0.103577204,-0.136436149,0.023174802,0.063348144,0.20619081,0.093509652,0.110921673,-0.075488649,-0.209065959,-0.131522253,-0.098023042,0.044493821
Cameroon,-0.956391931,-0.784960151,-0.564015806,-0.67726481,-0.429470658,-0.359356344,-0.182024568,-0.24470523,-0.326108962,-0.55211091,-0.474782139,-0.736971438,-0.66168797,-0.588517427,-0.532237291,-1.059252381,-0.989914,-1.061213017,-1.091505051,-1.401801467,-1.561823249,-1.513679743,-1.394088745,-1.379629254,-1.400436401
Canada,1.234051704,0.950881243,1.167526841,1.218031764,1.053076744,0.876447499,0.82872504,1.034956574,1.007010698,1.041372657,1.127075911,0.936318219,1.077175736,1.113016248,1.061421752,1.17550385,1.26233685,1.240411639,1.089681149,0.963971078,0.994933546,1.013182282,0.962336957,0.780681551,0.822420537
Cayman Islands,0.717076898,0.728511989,0.713235021,0.792559922,0.851720035,1.234749317,1.189666033,1.104799986,1.085738063,1.112509608,1.09262681,1.149637938,1.336360812,0.959384382,1.017615318,1.04634726,1.1286937,1.1407758,1.162611365,1.110834956,1.401525497,1.456470966,1.624775887,1.660741806,1.625601411
Central African Republic,-1.211729646,-1.141749382,-1.12044251,-1.733406186,-1.538873434,-1.424244881,-1.427994967,-1.851551533,-1.857264042,-1.843814135,-1.903989911,-2.020625353,-1.789389133,-1.852922916,-2.154896736,-2.699193239,-1.89358747,-1.779548764,-1.993533373,-2.172207594,-2.135875463,-2.23627758,-2.126852989,-2.205052376,-2.203107119
Chad,-0.998601556,-1.306433678,-1.134754062,-1.559618831,-1.372430205,-1.539456844,-1.442237139,-1.831755042,-1.868080497,-1.965196609,-1.726229668,-1.524827719,-1.318085194,-1.044117332,-1.089472294,-1.568882704,-0.973281741,-1.301894188,-1.286392689,-1.478015542,-1.350451112,-1.255220294,-1.389865518,-1.470404863,-1.559462905
Chile,0.676454544,0.033281282,0.485464156,1.088796377,0.761611938,0.691341698,0.842383623,0.613005877,0.406370878,0.431912959,0.602584422,0.67960453,0.452553362,0.331102103,0.36374253,0.447516918,0.424871743,0.402406216,0.40628159,0.412769765,-0.016121579,0.044044506,0.161427185,0.132084325,0.136159942
China,-0.097848825,-0.394105226,-0.209916875,-0.327627182,-0.565357924,-0.390680671,-0.501756608,-0.540030122,-0.500553727,-0.493088424,-0.451781332,-0.657060683,-0.602054834,-0.53878206,-0.543789923,-0.522584021,-0.552559674,-0.502221346,-0.232558101,-0.298572481,-0.259780675,-0.474127859,-0.516462862,-0.45127672,-0.513097048
Colombia,-1.6478585,-1.793921709,-1.608960748,-1.956714392,-2.376026869,-2.271226406,-2.057942867,-1.90479672,-1.806527257,-1.853462338,-1.832345843,-1.537184834,-1.284655571,-1.401810408,-1.291971803,-1.114594102,-1.072663784,-0.887163997,-0.779457808,-0.806941986,-0.979486108,-0.70115006,-0.954574347,-0.629958332,-0.71731323
Comoros,0.507538915,0.564976454,0.02275865,0.402049303,-0.673140526,-0.163161784,-0.436263949,-0.360273153,-1.095457792,-1.107211709,-0.76526773,-0.562939286,-0.552736104,-0.452308029,-0.256929189,-0.186910167,-0.24447161,0.022001922,0.022408005,-0.361612618,-0.176797673,-0.287384897,-0.227990642,-0.226411358,-0.226316765
Congo DR,-2.682812929,-2.847851753,-2.474238157,-1.975927949,-2.02786994,-2.387764215,-2.128561497,-2.246732235,-2.178499937,-2.003076315,-2.000982761,-2.196742058,-2.21298933,-2.085892916,-2.192190647,-2.167921305,-2.138853312,-2.224589348,-2.339440346,-2.080515623,-1.626423597,-1.786685586,-1.660624623,-1.984489679,-2.044862032
Congo,-1.224944949,-1.50108397,-0.922982037,-1.587167978,-1.170220375,-1.190597773,-1.165839434,-0.923411787,-0.771577418,-0.721322358,-0.250487626,-0.316415846,-0.35430038,-0.489689857,-0.475050122,-0.359291583,-0.5291273,-0.523459077,-0.533614814,-0.348338872,-0.299274206,-0.213043123,-0.229436472,0.038993821,0.019162007
Cook Islands,,,,,,,,,,,1.144098997,1.322361231,,,,,,,,0.931310594,1.124365926,1.153894305,1.145263195,1.16476059,1.196982622
Costa Rica,0.7530514,0.903728962,0.868542314,1.068694472,0.59575659,0.631576538,0.708228171,0.736050129,0.582772672,0.359765232,0.587060392,0.691537201,0.508276045,0.638402462,0.677918017,0.577418208,0.669974029,0.648553014,0.597007215,0.453386009,0.430319965,0.746818066,0.860422552,0.956596434,0.984186828
Cote d'Ivoire,0.033416919,-0.203814626,-1.240804076,-1.919733882,-1.803262711,-2.114921093,-2.259528875,-1.861868382,-1.839572787,-1.804067373,-1.320862532,-1.583894253,-1.405807614,-1.263461113,-1.048724174,-1.037160635,-0.835078061,-0.909238815,-1.091116309,-0.897999644,-1.036496758,-1.033219695,-0.71501565,-0.587266505,-0.631788194
Croatia,-0.03835905,0.067885965,0.28022489,0.628807724,0.558495879,0.686754405,0.434474081,0.560829282,0.605396986,0.57365191,0.61292696,0.608463645,0.62374711,0.606891453,0.64266789,0.619112372,0.586513638,0.654191136,0.681905687,0.793678284,0.685510695,0.607283235,0.621595681,0.672563255,0.59771204
Cuba,0.231270432,0.007875389,0.248432532,0.263644099,0.316652775,0.355422109,0.424785823,0.474477261,0.450941592,0.524226606,0.356679857,0.349292427,0.280382127,0.307248294,0.37056464,0.544822037,0.634750009,0.673131645,0.638511062,0.640602827,0.610500574,0.596146762,0.39279601,0.491417795,0.384215951
Cyprus,0.38775152,0.222172737,0.517499864,0.199420601,0.532275915,0.380177587,0.517519236,0.539664984,0.537055731,0.639003932,0.390287489,0.452444822,0.607984483,0.635126054,0.563347161,0.551882088,0.542449117,0.593786836,0.53097415,0.484542251,0.544598222,0.288777649,0.422150671,0.423811227,0.409627169
Czechoslovakia,1.056,0.996,0.446,1.009,0.908,0.633,0.923,0.962,1.023,1.061,0.911,1.011,1.063,1.066,1.097,1.007,0.934,0.876,0.961,0.927,0.848,0.817,0.835,0.688,0.833
Denmark,1.441964746,1.431966305,1.50106895,1.52424407,1.203815699,1.084337354,1.073495388,1.046792865,1.118189216,1.065386772,1.001182675,1.040961027,1.10029304,0.914910674,0.959233463,0.951779723,0.887059271,0.852912426,0.854937553,0.931982338,0.967598736,0.920233727,0.928662658,0.868917704,0.85084796
Faroe Islands,1.441964746,1.431966305,1.50106895,1.52424407,1.203815699,1.084337354,1.073495388,1.046792865,1.118189216,1.065386772,1.001182675,1.040961027,1.10029304,0.914910674,0.959233463,0.951779723,0.887059271,0.852912426,0.854937553,0.931982338,0.967598736,0.920233727,0.928662658,0.868917704,0.85084796
Djibouti,-0.339192003,-0.964446723,-0.241125971,-0.313102961,-0.912803233,-0.344115853,-0.812229693,-0.262578547,-0.123644054,0.268389225,0.494239002,0.253481269,0.177703246,0.160619214,-0.102187522,-0.77023226,-0.44767192,-0.628553987,-0.733945072,-0.133426666,-0.343388051,-0.448202372,-0.566324711,-0.507386088,-0.516700983
